"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","MKN-10_U2",5121,"A00","Cholera","Cholera","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A01","Břišní tyfus a paratyfus","Břišní tyfus a paratyfus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A02","Jiné infekce způsobené salmonelami","Jiné infekce způsobené salmonelami","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A03","Shigelóza","Shigelóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A04","Jiné bakteriální střevní infekce","Jiné bakteriální střevní infekce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A05","Jiné bakteriální intoxikace – otravy, přenesené potravou","Jiné bakteriální intoxikace – otravy, přenesené potravou","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A06","Amébóza","Amébóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A07","Jiné protozoární střevní nemoci","Jiné protozoární střevní nemoci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A08","Střevní infekce viry a jinými určenými mikroorganismy","Střevní infekce viry a jinými určenými mikroorganismy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A09","Jiná gastroenteritida a kolitida infekčního a NS původu","Jiná gastroenteritida a kolitida infekčního a NS původu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A15","TBC dýchacího ústrojí, bakteriologicky a histologicky ověřen","TBC dýchacího ústrojí, bakteriologicky a histologicky ověřená","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A16","TBC dýchacího ústrojí, bakteriologicky a histologicky neověř","TBC dýchacího ústrojí, bakteriologicky a histologicky neověřená","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A17","TBC nervové soustavy","TBC nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A18","TBC jiných orgánů","TBC jiných orgánů","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A19","Miliární TBC","Miliární TBC","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A20","Mor","Mor","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A21","Tularemie","Tularemie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A22","Sněť slezinná [anthrax]","Sněť slezinná [anthrax]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A23","Brucelóza – vlnivá horečka","Brucelóza – vlnivá horečka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A24","Vozhřivka [malleus] a melioidóza [pseudomalleus]","Vozhřivka [malleus] a melioidóza [pseudomalleus]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A25","Horečka z krysího kousnuti","Horečka z krysího kousnuti","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A26","Červenka – erysipeloid","Červenka – erysipeloid","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A27","Leptospiróza","Leptospiróza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A28","Další bakteriální zoonózy nezařazené jinde","Další bakteriální zoonózy nezařazené jinde","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A30","Lepra – malomocenství (Hansenova nemoc)","Lepra – malomocenství (Hansenova nemoc)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A31","Nemoci způsobené jinými mykobakteriemi","Nemoci způsobené jinými mykobakteriemi","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A32","Listerióza [listeriosis]","Listerióza [listeriosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A33","Tetanus novorozenců","Tetanus novorozenců","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A34","Tetanus porodnický","Tetanus porodnický","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A35","Tetanus jiný","Tetanus jiný","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A36","Záškrt [diphtheria]","Záškrt [diphtheria]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A37","Dávivý kašel [pertussis]","Dávivý kašel [pertussis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A38","Spála [scarlatina]","Spála [scarlatina]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A39","Meningokokové infekce","Meningokokové infekce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A40","Streptokoková sepse","Streptokoková sepse","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A41","Jiná sepse","Jiná sepse","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A42","Aktinomykóza – actinomycosis","Aktinomykóza – actinomycosis","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A43","Nokardióza [nocardiosis]","Nokardióza [nocardiosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A44","Bartonelóza [bartonellosis]","Bartonelóza [bartonellosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A46","Růže – erysipel","Růže – erysipel","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A48","Jiné bakteriální nemoci NJ","Jiné bakteriální nemoci NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A49","Bakteriální infekce neurčené lokalizace","Bakteriální infekce neurčené lokalizace","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A50","Vrozená syfilis","Vrozená syfilis","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A51","Časná syfilis","Časná syfilis","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A52","Pozdní syfilis","Pozdní syfilis","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A53","Jiná a nespecifikovaná syfilis","Jiná a nespecifikovaná syfilis","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A54","Gonokoková infekce","Gonokoková infekce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A55","Venerický lymfogranulom (chlamydiový)","Venerický lymfogranulom (chlamydiový)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A56","Jiná chlamydiová onemocnění přenášená pohlavním stykem","Jiná chlamydiová onemocnění přenášená pohlavním stykem","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A57","Měkký vřed – chankroid","Měkký vřed – chankroid","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A58","Granuloma inguinale","Granuloma inguinale","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A59","Trichomoniáza","Trichomoniáza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A60","Anogenitální herpetické infekce","Anogenitální herpetické infekce","1994-01-01","9999-09-09"
